# 5
S.sname,S.age,S.sid,R.sid,B.bcolor
D,42,6177,6177,blue
V,22,5937,5937,blue
D,22,867,867,blue
L,23,8890,8890,blue
L,29,4070,4070,blue
X,25,6532,6532,blue
F,47,7638,7638,blue
R,57,1854,1854,blue
S,44,3888,3888,blue
Z,33,6178,6178,blue
B,57,9525,9525,blue
Y,68,9378,9378,blue
L,62,9530,9530,blue
D,29,4548,4548,blue
R,24,2515,2515,blue
B,39,8826,8826,blue
E,46,4122,4122,blue
R,35,93,93,blue
Y,52,8807,8807,blue
F,62,1581,1581,blue
A,41,6492,6492,blue
A,41,1872,1872,blue
B,24,5699,5699,blue
Q,33,3242,3242,blue
X,67,1174,1174,blue
W,27,4965,4965,blue
E,44,5799,5799,blue
C,34,3050,3050,blue
X,34,1111,1111,blue
C,34,3542,3542,blue
K,50,8013,8013,blue
R,56,8429,8429,blue
M,39,8155,8155,blue
P,46,7492,7492,blue
K,66,1868,1868,blue
W,64,2331,2331,blue
D,41,6822,6822,blue
V,69,6386,6386,blue
L,53,544,544,blue
C,66,2462,2462,blue
C,21,5113,5113,blue
S,30,5179,5179,blue
S,30,5627,5627,blue
S,30,3275,3275,blue
L,32,5047,5047,blue
Q,40,6470,6470,blue
L,59,9484,9484,blue
F,51,2467,2467,blue
P,65,5182,5182,blue
N,51,3499,3499,blue
L,25,8134,8134,blue
B,36,8290,8290,blue
R,27,4107,4107,blue
J,65,9516,9516,blue
P,69,4389,4389,blue
R,49,9809,9809,blue
X,60,7694,7694,blue
A,63,1167,1167,blue
G,33,7165,7165,blue
O,35,1879,1879,blue
H,37,3915,3915,blue
C,53,1164,1164,blue
L,66,3448,3448,blue
H,67,7726,7726,blue
B,67,5909,5909,blue
P,31,1824,1824,blue
I,25,5340,5340,blue
L,27,4672,4672,blue
Q,57,3015,3015,blue
G,49,8242,8242,blue
I,21,7229,7229,blue
F,45,6064,6064,blue
N,32,6857,6857,blue
H,65,2276,2276,blue
T,58,3341,3341,blue
M,49,2263,2263,blue
U,61,8573,8573,blue
N,20,1218,1218,blue
F,60,551,551,blue
N,58,9505,9505,blue
Z,61,922,922,blue
C,63,2964,2964,blue
E,67,622,622,blue
N,62,9336,9336,blue
H,34,6455,6455,blue
H,38,4592,4592,blue
Y,50,722,722,blue
X,69,5010,5010,blue
M,63,2605,2605,blue
Q,20,9869,9869,blue
I,48,5123,5123,blue
C,54,7126,7126,blue
A,48,1938,1938,blue
J,53,5337,5337,blue
I,68,8661,8661,blue
B,61,8806,8806,blue
U,20,714,714,blue
Q,36,7114,7114,blue
J,49,3910,3910,blue
F,28,5208,5208,blue
R,48,9284,9284,blue
R,48,1508,1508,blue
I,33,9005,9005,blue
Y,29,92,92,blue
T,56,2830,2830,blue
N,27,5080,5080,blue
U,46,9441,9441,blue
Z,66,2094,2094,blue
S,64,5328,5328,blue
M,58,5317,5317,blue
M,47,3884,3884,blue
N,57,8522,8522,blue
P,55,3086,3086,blue
I,32,9412,9412,blue
L,49,8240,8240,blue
G,46,4429,4429,blue
O,29,5302,5302,blue
G,37,3149,3149,blue
E,62,5131,5131,blue
I,29,3428,3428,blue
S,59,8910,8910,blue
J,58,4523,4523,blue
F,27,9819,9819,blue
F,64,7814,7814,blue
K,57,782,782,blue
L,28,1947,1947,blue
V,42,7536,7536,blue
P,23,3811,3811,blue
J,36,5908,5908,blue
R,66,8975,8975,blue
Q,53,1588,1588,blue
E,35,9221,9221,blue
Q,63,7988,7988,blue
X,29,6060,6060,blue
C,29,3139,3139,blue
P,25,158,158,blue
W,62,7030,7030,blue
T,44,3846,3846,blue
D,59,3617,3617,blue
X,25,8077,8077,blue
Y,31,5384,5384,blue
A,55,8381,8381,blue
S,44,4733,4733,blue
H,58,414,414,blue
T,22,1997,1997,blue
Q,24,7467,7467,blue
L,62,5359,5359,blue
B,40,1103,1103,blue
H,31,3874,3874,blue
W,37,2238,2238,blue
G,41,4067,4067,blue
D,25,3894,3894,blue
B,41,7807,7807,blue
C,61,1507,1507,blue
Z,63,8730,8730,blue
S,50,6220,6220,blue
S,50,4760,4760,blue
K,34,7643,7643,blue
Y,63,2504,2504,blue
Q,33,4835,4835,blue
Y,35,1625,1625,blue
N,40,1256,1256,blue
D,48,9695,9695,blue
R,55,2846,2846,blue
R,55,9376,9376,blue
A,54,3192,3192,blue
E,33,9014,9014,blue
K,35,7088,7088,blue
K,56,6224,6224,blue
P,46,773,773,blue
V,45,9216,9216,blue
G,50,5632,5632,blue
L,57,223,223,blue
B,51,6735,6735,blue
W,49,2982,2982,blue
M,34,8035,8035,blue
J,35,5687,5687,blue
D,30,3854,3854,blue
R,21,7551,7551,blue
F,46,3749,3749,blue
S,30,2158,2158,blue
G,29,3746,3746,blue
Q,25,4730,4730,blue
Y,69,2584,2584,blue
Y,69,508,508,blue
U,23,2082,2082,blue
F,51,9608,9608,blue
Q,39,7224,7224,blue
Q,29,9141,9141,blue
H,28,2081,2081,blue
Z,45,4146,4146,blue
X,60,7633,7633,blue
D,62,5062,5062,blue
Y,53,1055,1055,blue
Q,55,1031,1031,blue
V,40,6890,6890,blue
D,40,9824,9824,blue
W,65,3345,3345,blue
W,60,1349,1349,blue
W,65,9447,9447,blue
J,44,3190,3190,blue
D,46,3919,3919,blue
Z,25,618,618,blue
Q,61,2671,2671,blue
N,30,9067,9067,blue
B,49,5175,5175,blue
X,37,6627,6627,blue
M,44,4651,4651,blue
Z,39,3875,3875,blue
X,37,5727,5727,blue
Q,61,4259,4259,blue
V,24,5963,5963,blue
X,22,9168,9168,blue
F,61,6448,6448,blue
F,61,7124,7124,blue
T,49,2143,2143,blue
J,68,8616,8616,blue
B,52,3465,3465,blue
Z,23,4954,4954,blue
J,64,633,633,blue
E,67,6181,6181,blue
T,53,6736,6736,blue
R,33,9485,9485,blue
S,48,4044,4044,blue
C,69,7756,7756,blue
E,36,4323,4323,blue
C,65,5007,5007,blue
I,48,9128,9128,blue
N,68,1223,1223,blue
Y,55,3095,3095,blue
N,68,647,647,blue
S,36,6938,6938,blue
S,61,3563,3563,blue
X,54,5752,5752,blue
T,26,6752,6752,blue
Y,38,4709,4709,blue
D,33,9600,9600,blue
U,20,8005,8005,blue
Y,45,7190,7190,blue
F,28,9757,9757,blue
S,45,2472,2472,blue
R,69,8506,8506,blue
P,44,5370,5370,blue
R,69,2410,2410,blue
U,62,3147,3147,blue
B,68,990,990,blue
G,48,1820,1820,blue
U,63,3764,3764,blue
G,21,4308,4308,blue
L,51,8997,8997,blue
B,29,8073,8073,blue
E,65,6780,6780,blue
Q,21,3447,3447,blue
P,38,7731,7731,blue
S,65,8292,8292,blue
D,53,1735,1735,blue
M,52,2426,2426,blue
G,42,5657,5657,blue
G,27,3740,3740,blue
D,58,8036,8036,blue
T,50,9009,9009,blue
X,48,2170,2170,blue
J,54,3533,3533,blue
T,67,8490,8490,blue
M,64,7426,7426,blue
M,26,4239,4239,blue
B,22,572,572,blue
E,50,3369,3369,blue
G,32,8491,8491,blue
E,50,1353,1353,blue
Z,49,4591,4591,blue
V,59,6254,6254,blue
T,40,2018,2018,blue
O,57,1346,1346,blue
F,47,7116,7116,blue
G,63,7329,7329,blue
T,39,7977,7977,blue
Y,42,6194,6194,blue
F,56,5043,5043,blue
B,57,3585,3585,blue
P,41,8954,8954,blue
A,29,912,912,blue
R,64,4400,4400,blue
V,20,1767,1767,blue
T,34,7085,7085,blue
T,34,9521,9521,blue
M,41,887,887,blue
P,36,4290,4290,blue
T,38,929,929,blue
V,66,3146,3146,blue
Y,26,5067,5067,blue
K,45,6973,6973,blue
A,45,2785,2785,blue
R,26,8592,8592,blue
N,56,6988,6988,blue
H,21,6823,6823,blue
Y,63,7861,7861,blue
M,61,6649,6649,blue
U,21,9271,9271,blue
T,69,5616,5616,blue
Q,56,2221,2221,blue
D,52,7857,7857,blue
B,21,7610,7610,blue
Q,60,3977,3977,blue
V,48,6508,6508,blue
Z,43,9429,9429,blue
G,47,7132,7132,blue
O,32,1322,1322,blue
N,35,2352,2352,blue
A,54,3027,3027,blue
C,55,3327,3327,blue
A,54,8945,8945,blue
X,34,1475,1475,blue
K,60,1311,1311,blue
L,37,7481,7481,blue
I,22,1748,1748,blue
Z,20,6364,6364,blue
I,22,1002,1002,blue
E,49,1530,1530,blue
M,55,4178,4178,blue
M,55,114,114,blue
G,28,5438,5438,blue
X,66,4903,4903,blue
C,66,5008,5008,blue
P,49,5,5,blue
U,50,6468,6468,blue
Q,23,2825,2825,blue
O,21,9749,9749,blue
G,23,8887,8887,blue
Q,40,2940,2940,blue
U,24,9268,9268,blue
M,62,8822,8822,blue
N,65,1810,1810,blue
R,40,3418,3418,blue
Z,48,4083,4083,blue
C,56,6704,6704,blue
D,35,1769,1769,blue
O,62,2537,2537,blue
H,40,8767,8767,blue
V,44,6727,6727,blue
Y,53,504,504,blue
O,49,7177,7177,blue
L,66,8514,8514,blue
B,67,7623,7623,blue
U,22,3777,3777,blue
D,34,447,447,blue
B,62,6395,6395,blue
L,31,9243,9243,blue
C,37,3747,3747,blue
M,40,680,680,blue
R,63,3862,3862,blue
D,24,5108,5108,blue
X,26,132,132,blue
I,62,5965,5965,blue
X,22,3343,3343,blue
K,27,43,43,blue
W,35,9522,9522,blue
U,48,9689,9689,blue
W,35,5618,5618,blue
O,66,462,462,blue
O,66,7248,7248,blue
J,64,4330,4330,blue
H,23,5507,5507,blue
I,52,9488,9488,blue
G,62,6411,6411,blue
F,67,9799,9799,blue
C,36,6222,6222,blue
I,64,5892,5892,blue
M,33,7862,7862,blue
P,44,4873,4873,blue
F,34,1220,1220,blue
E,55,5595,5595,blue
I,61,1102,1102,blue
Q,69,3359,3359,blue
L,56,8266,8266,blue
J,22,8508,8508,blue
S,68,1582,1582,blue
S,68,3948,3948,blue
S,64,5190,5190,blue
G,21,7273,7273,blue
Q,30,9257,9257,blue
P,34,503,503,blue
I,36,6387,6387,blue
B,50,763,763,blue
Q,21,6454,6454,blue
D,53,4896,4896,blue
J,63,9416,9416,blue
D,58,3257,3257,blue
R,25,2130,2130,blue
E,62,6915,6915,blue
Q,47,6719,6719,blue
Y,32,1712,1712,blue
B,31,4154,4154,blue
L,24,9004,9004,blue
C,41,7303,7303,blue
T,28,8861,8861,blue
W,67,6319,6319,blue
P,64,5048,5048,blue
Q,49,3922,3922,blue
B,22,751,751,blue
T,44,130,130,blue
E,56,272,272,blue
D,32,2048,2048,blue
Y,31,5982,5982,blue
O,61,2364,2364,blue
L,35,5084,5084,blue
A,51,7603,7603,blue
U,53,8903,8903,blue
C,35,6421,6421,blue
Y,46,7941,7941,blue
Y,46,4441,4441,blue
P,41,247,247,blue
M,36,102,102,blue
U,44,8088,8088,blue
R,68,6538,6538,blue
D,67,7937,7937,blue
F,52,3240,3240,blue
I,38,6838,6838,blue
J,66,9496,9496,blue
G,41,5001,5001,blue
V,54,7387,7387,blue
S,24,8284,8284,blue
K,28,7417,7417,blue
R,35,1262,1262,blue
A,20,6517,6517,blue
W,39,8721,8721,blue
L,69,2568,2568,blue
T,27,9491,9491,blue
X,67,8519,8519,blue
J,45,252,252,blue
P,67,5532,5532,blue
A,36,4740,4740,blue
O,45,2767,2767,blue
N,44,3189,3189,blue
H,63,9944,9944,blue
S,21,9528,9528,blue
O,36,4540,4540,blue
G,38,7118,7118,blue
L,42,6100,6100,blue
F,26,5180,5180,blue
R,67,9393,9393,blue
J,29,9325,9325,blue
U,60,9851,9851,blue
C,40,7027,7027,blue
Y,37,749,749,blue
D,41,607,607,blue
W,64,8384,8384,blue
M,34,7359,7359,blue
V,69,3815,3815,blue
C,28,3232,3232,blue
I,60,3692,3692,blue
D,30,4908,4908,blue
V,30,8470,8470,blue
P,35,5169,5169,blue
M,51,9217,9217,blue
I,56,5124,5124,blue
T,32,2572,2572,blue
I,55,3578,3578,blue
J,23,5743,5743,blue
I,55,5866,5866,blue
Y,28,133,133,blue
M,56,3726,3726,blue
Y,65,7925,7925,blue
F,68,5406,5406,blue
A,38,8103,8103,blue
A,63,7130,7130,blue
E,63,7377,7377,blue
D,62,4340,4340,blue
D,62,4916,4916,blue
Z,41,5083,5083,blue
I,24,3879,3879,blue
O,58,3593,3593,blue
C,53,5757,5757,blue
D,39,9313,9313,blue
P,26,2752,2752,blue
Q,38,7250,7250,blue
I,25,7069,7069,blue
I,25,7425,7425,blue
C,27,6282,6282,blue
X,27,9481,9481,blue
B,49,3935,3935,blue
P,33,7562,7562,blue
H,60,3951,3951,blue
Y,23,5916,5916,blue
G,26,1359,1359,blue
C,26,4776,4776,blue
L,47,5057,5057,blue
K,27,3436,3436,blue
O,66,3571,3571,blue
J,64,8993,8993,blue
F,60,1090,1090,blue
H,34,3402,3402,blue
I,65,290,290,blue
I,65,1838,1838,blue
V,60,2985,2985,blue
I,52,4913,4913,blue
D,56,3046,3046,blue
P,54,7642,7642,blue
O,56,1814,1814,blue
K,63,9823,9823,blue
H,43,2748,2748,blue
G,62,8934,8934,blue
J,56,1228,1228,blue
Y,41,3557,3557,blue
U,20,7471,7471,blue
L,40,9546,9546,blue
U,67,6257,6257,blue
S,31,5972,5972,blue
O,50,4436,4436,blue
S,31,216,216,blue
L,22,3463,3463,blue
M,31,9100,9100,blue
M,27,7513,7513,blue
F,34,2621,2621,blue
N,27,6593,6593,blue
V,31,6509,6509,blue
U,47,8789,8789,blue
E,45,7765,7765,blue
O,40,6841,6841,blue
G,42,1091,1091,blue
O,39,2354,2354,blue
S,63,440,440,blue
B,34,3515,3515,blue
F,53,8637,8637,blue
R,32,8654,8654,blue
Q,49,4151,4151,blue
O,34,6715,6715,blue
O,34,5723,5723,blue
X,25,8664,8664,blue
E,56,7817,7817,blue
Z,27,1606,1606,blue
T,39,8249,8249,blue
N,34,9099,9099,blue
N,34,4303,4303,blue
H,58,7741,7741,blue
U,66,7859,7859,blue
K,51,9435,9435,blue
Q,24,184,184,blue
V,20,7607,7607,blue
D,20,6215,6215,blue
D,20,7911,7911,blue
V,20,9543,9543,blue
P,45,5095,5095,blue
D,67,5110,5110,blue
B,40,72,72,blue
P,32,9741,9741,blue
A,22,8435,8435,blue
A,22,7203,7203,blue
B,39,5214,5214,blue
A,22,7981,7981,blue
X,61,655,655,blue
K,41,9246,9246,blue
R,39,470,470,blue
H,47,7706,7706,blue
H,47,1230,1230,blue
C,50,4077,4077,blue
W,27,4921,4921,blue
L,26,6888,6888,blue
L,26,8006,8006,blue
E,37,6814,6814,blue
C,55,445,445,blue
X,55,8260,8260,blue
X,51,2075,2075,blue
N,45,457,457,blue
N,45,735,735,blue
K,60,2579,2579,blue
Y,33,1478,1478,blue
Y,37,6770,6770,blue
P,46,8330,8330,blue
V,45,1441,1441,blue
B,55,2559,2559,blue
Q,50,6073,6073,blue
G,50,6437,6437,blue
W,49,9151,9151,blue
P,58,783,783,blue
P,58,3607,3607,blue
M,46,4035,4035,blue
C,24,5313,5313,blue
G,28,2250,2250,blue
G,28,7556,7556,blue
O,30,8526,8526,blue
X,21,5252,5252,blue
E,20,5430,5430,blue
I,56,2919,2919,blue
X,66,4997,4997,blue
T,32,3983,3983,blue
L,36,8484,8484,blue
R,40,4828,4828,blue
H,28,1016,1016,blue
P,69,5791,5791,blue
G,56,5620,5620,blue
S,51,6440,6440,blue
P,30,8048,8048,blue
S,51,3652,3652,blue
L,66,2044,2044,blue
X,53,775,775,blue
H,67,3762,3762,blue
B,67,9303,9303,blue
C,31,2984,2984,blue
T,42,3430,3430,blue
D,46,6528,6528,blue
E,66,4074,4074,blue
S,46,9323,9323,blue
C,37,3537,3537,blue
I,58,1984,1984,blue
T,49,3606,3606,blue
G,64,1986,1986,blue
K,65,4412,4412,blue
A,47,6848,6848,blue
B,30,757,757,blue
Y,50,9918,9918,blue
R,33,8250,8250,blue
W,45,5367,5367,blue
A,32,8411,8411,blue
M,63,4101,4101,blue
Z,46,4356,4356,blue
N,68,7856,7856,blue
X,58,1369,1369,blue
V,37,261,261,blue
X,47,4552,4552,blue
P,28,4202,4202,blue
E,57,9859,9859,blue
S,47,1282,1282,blue
J,49,1644,1644,blue
H,61,4076,4076,blue
S,43,251,251,blue
Y,39,963,963,blue
F,28,2692,2692,blue
R,48,764,764,blue
U,67,5834,5834,blue
I,52,6072,6072,blue
N,47,5003,5003,blue
J,27,9652,9652,blue
O,50,545,545,blue
S,27,3170,3170,blue
U,63,8525,8525,blue
T,56,1382,1382,blue
J,26,2987,2987,blue
S,68,3248,3248,blue
B,63,708,708,blue
W,57,1329,1329,blue
O,23,263,263,blue
V,31,7110,7110,blue
N,57,1930,1930,blue
N,22,3473,3473,blue
Q,21,8660,8660,blue
S,65,1763,1763,blue
Q,31,10000,10000,blue
E,45,4304,4304,blue
O,29,426,426,blue
B,38,4091,4091,blue
L,67,7531,7531,blue
T,50,2086,2086,blue
H,26,9625,9625,blue
T,50,4420,4420,blue
H,45,7469,7469,blue
F,53,7876,7876,blue
H,41,4482,4482,blue
T,24,4874,4874,blue
W,29,1497,1497,blue
F,31,5354,5354,blue
A,42,9818,9818,blue
L,28,9031,9031,blue
M,26,5802,5802,blue
E,50,7234,7234,blue
G,32,5502,5502,blue
P,43,2747,2747,blue
Q,53,7880,7880,blue
J,32,2860,2860,blue
I,31,1286,1286,blue
B,60,3979,3979,blue
Q,51,1097,1097,blue
O,61,3290,3290,blue
Z,27,5785,5785,blue
A,55,8745,8745,blue
R,57,7187,7187,blue
K,55,8734,8734,blue
U,53,3761,3761,blue
Y,46,3031,3031,blue
S,66,4251,4251,blue
A,25,5358,5358,blue
F,33,9629,9629,blue
G,41,7721,7721,blue
G,41,2281,2281,blue
W,33,3099,3099,blue
B,41,2279,2279,blue
K,45,9092,9092,blue
R,35,5768,5768,blue
A,20,8703,8703,blue
A,45,2190,2190,blue
T,61,3427,3427,blue
Z,59,5341,5341,blue
T,65,5650,5650,blue
T,65,1106,1106,blue
S,37,7973,7973,blue
F,24,9540,9540,blue
J,45,766,766,blue
O,41,1008,1008,blue
R,55,4292,4292,blue
H,63,3074,3074,blue
Y,58,3768,3768,blue
V,57,2032,2032,blue
E,33,4180,4180,blue
Y,62,8843,8843,blue
N,39,4248,4248,blue
A,52,7979,7979,blue
K,66,3117,3117,blue
O,65,4422,4422,blue
J,39,4164,4164,blue
L,57,4053,4053,blue
O,69,6271,6271,blue
L,20,4100,4100,blue
I,60,9016,9016,blue
R,21,807,807,blue
A,27,8433,8433,blue
Y,65,2441,2441,blue
E,47,3064,3064,blue
P,51,1194,1194,blue
Y,69,5716,5716,blue
B,36,65,65,blue
Z,48,1476,1476,blue
P,69,608,608,blue
V,50,8185,8185,blue
O,58,7715,7715,blue
A,59,2057,2057,blue
X,56,2156,2156,blue
O,62,9124,9124,blue
Q,55,3647,3647,blue
D,44,1052,1052,blue
P,21,431,431,blue
B,67,4144,4144,blue
B,62,1290,1290,blue
S,20,3759,3759,blue
T,20,9294,9294,blue
A,49,2827,2827,blue
T,47,9120,9120,blue
T,47,4960,4960,blue
F,32,9230,9230,blue
C,22,1139,1139,blue
G,64,3519,3519,blue
U,52,6785,6785,blue
V,68,9755,9755,blue
X,63,2064,2064,blue
S,52,5415,5415,blue
D,68,5439,5439,blue
C,69,8920,8920,blue
X,69,3851,3851,blue
V,60,2907,2907,blue
L,50,3528,3528,blue
D,60,441,441,blue
E,32,9792,9792,blue
S,49,4087,4087,blue
E,61,3404,3404,blue
E,61,2476,2476,blue
F,25,8143,8143,blue
H,50,159,159,blue
I,26,2349,2349,blue
L,65,9285,9285,blue
T,64,5797,5797,blue
C,36,3705,3705,blue
P,66,326,326,blue
F,28,4673,4673,blue
S,45,1308,1308,blue
Y,43,5390,5390,blue
X,38,9037,9037,blue
K,54,9975,9975,blue
D,26,3441,3441,blue
I,61,8547,8547,blue
Q,52,6490,6490,blue
Y,29,4939,4939,blue
P,59,3511,3511,blue
B,63,4189,4189,blue
B,59,1511,1511,blue
X,68,3094,3094,blue
E,65,5106,5106,blue
L,61,6256,6256,blue
D,49,4508,4508,blue
Q,46,2002,2002,blue
K,36,4995,4995,blue
F,49,9340,9340,blue
X,48,9662,9662,blue
F,53,8483,8483,blue
S,34,4798,4798,blue
Z,56,3791,3791,blue
A,42,7601,7601,blue
M,26,1481,1481,blue
Q,63,2479,2479,blue
C,29,2266,2266,blue
Z,31,5077,5077,blue
J,38,4894,4894,blue
O,61,1279,1279,blue
D,32,1797,1797,blue
T,59,3140,3140,blue
C,35,3840,3840,blue
P,45,4073,4073,blue
V,29,6044,6044,blue
Y,26,2503,2503,blue
M,41,1383,1383,blue
A,67,3512,3512,blue
I,34,5556,5556,blue
S,50,3939,3939,blue
K,24,5813,5813,blue
Z,59,232,232,blue
H,47,904,904,blue
E,21,3425,3425,blue
Z,69,3534,3534,blue
S,57,2841,2841,blue
X,46,6855,6855,blue
Y,35,7242,7242,blue
G,43,8645,8645,blue
Y,62,1626,1626,blue
C,44,2296,2296,blue
R,67,9052,9052,blue
A,52,3098,3098,blue
P,42,834,834,blue
R,58,9140,9140,blue
J,25,6198,6198,blue
V,45,7967,7967,blue
L,57,5184,5184,blue
W,64,3313,3313,blue
W,49,5977,5977,blue
A,68,3848,3848,blue
V,30,593,593,blue
X,24,2776,2776,blue
I,56,9565,9565,blue
L,53,2890,2890,blue
F,35,2006,2006,blue
Q,64,2382,2382,blue
X,21,9422,9422,blue
Q,64,6930,6930,blue
L,63,575,575,blue
Q,29,4568,4568,blue
Q,29,8568,8568,blue
B,23,9097,9097,blue
Z,45,8261,8261,blue
O,35,7863,7863,blue
Z,41,9986,9986,blue
X,53,3021,3021,blue
D,40,9539,9539,blue
F,69,2087,2087,blue
J,51,1495,1495,blue
N,26,3279,3279,blue
P,31,3438,3438,blue
W,51,3151,3151,blue
Y,40,4519,4519,blue
X,33,542,542,blue
I,35,5213,5213,blue
R,63,2768,2768,blue
F,23,2240,2240,blue
R,30,8162,8162,blue
F,50,6579,6579,blue
F,54,2950,2950,blue
H,23,8865,8865,blue
W,28,6546,6546,blue
Y,50,4136,4136,blue
K,43,5870,5870,blue
N,64,7527,7527,blue
Z,46,5510,5510,blue
X,65,7989,7989,blue
D,37,9837,9837,blue
U,25,6972,6972,blue
H,50,7660,7660,blue
K,38,517,517,blue
U,29,9249,9249,blue
C,36,9834,9834,blue
I,68,631,631,blue
C,32,5355,5355,blue
R,47,5410,5410,blue
P,40,5457,5457,blue
A,62,820,820,blue
U,58,4424,4424,blue
H,59,6514,6514,blue
M,33,2988,2988,blue
A,62,3044,3044,blue
N,47,9743,9743,blue
D,26,1904,1904,blue
T,33,365,365,blue
P,59,7842,7842,blue
F,38,3575,3575,blue
M,27,5492,5492,blue
U,63,5817,5817,blue
T,60,1537,1537,blue
K,25,2150,2150,blue
B,54,4720,4720,blue
X,64,6480,6480,blue
I,63,1952,1952,blue
G,27,5369,5369,blue
L,67,2815,2815,blue
S,63,5497,5497,blue
P,27,5978,5978,blue
B,34,7216,7216,blue
J,67,1896,1896,blue
J,58,2009,2009,blue
T,24,9144,9144,blue
R,32,8409,8409,blue
K,57,30,30,blue
A,39,260,260,blue
Q,49,8382,8382,blue
N,54,2575,2575,blue
D,59,3527,3527,blue
Q,63,6742,6742,blue
F,43,1122,1122,blue
I,31,9692,9692,blue
O,57,9307,9307,blue
E,60,2929,2929,blue
N,28,1306,1306,blue
K,55,2648,2648,blue
Z,33,9899,9899,blue
Y,68,4183,4183,blue
P,45,4612,4612,blue
A,25,1394,1394,blue
V,29,5081,5081,blue
A,62,6007,6007,blue
Y,48,1293,1293,blue
R,26,3653,3653,blue
R,26,1653,1653,blue
O,20,6483,6483,blue
P,52,4250,4250,blue
A,40,6004,6004,blue
J,45,5312,5312,blue
A,36,5568,5568,blue
S,41,2179,2179,blue
G,34,3629,3629,blue
K,39,3797,3797,blue
S,21,7180,7180,blue
V,57,6982,6982,blue
X,55,3745,3745,blue
J,29,897,897,blue
V,23,662,662,blue
V,23,4306,4306,blue
A,52,9041,9041,blue
H,53,3284,3284,blue
H,53,7096,7096,blue
T,29,4941,4941,blue
R,67,9445,9445,blue
I,44,2635,2635,blue
D,65,5434,5434,blue
T,45,3674,3674,blue
X,21,5093,5093,blue
Z,68,8426,8426,blue
J,23,6355,6355,blue
G,23,2788,2788,blue
V,55,7632,7632,blue
G,40,8850,8850,blue
G,44,8517,8517,blue
B,23,3636,3636,blue
B,36,5079,5079,blue
A,38,1093,1093,blue
H,28,4279,4279,blue
F,55,2779,2779,blue
B,32,4782,4782,blue
M,23,4249,4249,blue
D,62,8672,8672,blue
C,56,513,513,blue
O,49,5078,5078,blue
D,44,9706,9706,blue
O,49,8406,8406,blue
J,30,9987,9987,blue
W,65,3071,3071,blue
D,44,1578,1578,blue
P,31,8895,8895,blue
I,21,120,120,blue
T,46,3530,3530,blue
Y,40,4964,4964,blue
A,28,4537,4537,blue
F,23,7083,7083,blue
I,35,7750,7750,blue
Z,35,805,805,blue
Y,23,8304,8304,blue
M,53,2505,2505,blue
J,28,7219,7219,blue
F,57,9801,9801,blue
E,29,5805,5805,blue
M,49,8360,8360,blue
Z,35,7225,7225,blue
J,28,4557,4557,blue
H,65,2965,2965,blue
C,26,7708,7708,blue
J,64,3767,3767,blue
N,58,6826,6826,blue
B,30,8644,8644,blue
K,47,1146,1146,blue
N,62,4917,4917,blue
C,59,7794,7794,blue
I,65,7286,7286,blue
O,33,2507,2507,blue
M,63,3150,3150,blue
V,56,1232,1232,blue
P,54,8904,8904,blue
U,25,9389,9389,blue
C,54,3729,3729,blue
E,57,1850,1850,blue
T,21,7206,7206,blue
I,46,1514,1514,blue
R,52,3783,3783,blue
M,42,2415,2415,blue
Q,48,7431,7431,blue
T,33,3224,3224,blue
X,20,8935,8935,blue
G,25,2804,2804,blue
T,37,6241,6241,blue
L,60,69,69,blue
Z,66,943,943,blue
P,55,533,533,blue
E,69,7295,7295,blue
B,54,1159,1159,blue
B,50,4984,4984,blue
Q,21,7839,7839,blue
V,27,9094,9094,blue
Q,31,3477,3477,blue
V,27,2200,2200,blue
Q,21,1711,1711,blue
S,65,958,958,blue
A,65,8605,8605,blue
W,36,661,661,blue
K,23,5264,5264,blue
C,48,8391,8391,blue
J,58,2492,2492,blue
M,68,6513,6513,blue
T,67,5728,5728,blue
R,36,3091,3091,blue
J,43,5975,5975,blue
O,55,9933,9933,blue
W,20,1791,1791,blue
P,43,3506,3506,blue
Z,49,5741,5741,blue
I,31,9199,9199,blue
W,62,6137,6137,blue
E,60,3644,3644,blue
P,29,90,90,blue
W,58,8098,8098,blue
L,35,3331,3331,blue
K,55,9179,9179,blue
K,30,1205,1205,blue
R,61,3470,3470,blue
C,35,9972,9972,blue
U,40,9398,9398,blue
G,65,938,938,blue
U,44,905,905,blue
F,52,6499,6499,blue
M,45,2670,2670,blue
Y,26,6753,6753,blue
S,24,5267,5267,blue
Y,48,9800,9800,blue
T,57,977,977,blue
K,28,1590,1590,blue
P,48,3984,3984,blue
Q,33,6050,6050,blue
Q,22,1958,1958,blue
J,45,2511,2511,blue
Z,54,7357,7357,blue
L,30,5840,5840,blue
E,40,1932,1932,blue
R,42,1937,1937,blue
F,20,2669,2669,blue
R,42,6351,6351,blue
Z,36,5609,5609,blue
C,51,6664,6664,blue
Z,42,9400,9400,blue
J,29,1914,1914,blue
H,64,366,366,blue
G,54,4470,4470,blue
B,66,2036,2036,blue
P,47,6153,6153,blue
I,41,2019,2019,blue
A,68,2106,2106,blue
M,51,9232,9232,blue
C,21,8545,8545,blue
S,53,7999,7999,blue
D,55,8095,8095,blue
Q,44,4099,4099,blue
U,28,6829,6829,blue
V,51,6578,6578,blue
G,44,2624,2624,blue
T,48,2068,2068,blue
D,51,9826,9826,blue
O,47,7608,7608,blue
Z,45,1519,1519,blue
Y,49,6809,6809,blue
